"chat_session_id","chat_number","created_at","is_file_content","user_message","user_message_summary","bot_message","bot_message_summary","updated_at"
188,1,"2025-10-31 00:59:35.855103",False,"BSC 공통지표 점수를 올리기 위해 무엇을 해야할까요?(챙겨야 할게 무엇인지), BSC 청렴도 항목의 점수를 올리려면 어떤 활동을 해야하나요? ",NULL,NULL,NULL,"2025-10-31 00:59:35.855103"
189,1,"2025-10-31 01:00:30.949137",False,"행정정보 공동이용 권한 신청은 어떻게 하는것인가요?",NULL,NULL,NULL,"2025-10-31 01:00:30.949137"
190,1,"2025-10-31 01:01:39.140415",False,"GPKI 재발급 및 인사이동시 이동은 어떻게 하는 것인가요?",NULL,NULL,NULL,"2025-10-31 01:01:39.140415"
242,1,"2025-10-31 01:14:44.3588",False,"직원차량 등록 절차는 어떻게 되나요?",NULL,NULL,NULL,"2025-10-31 01:14:44.3588"
243,1,"2025-10-31 01:15:49.239406",False,"계좌이체로 지출시(소액) 필요한 서류는 어떻게 되나요?",NULL,NULL,NULL,"2025-10-31 01:15:49.239406"
244,1,"2025-10-31 01:16:57.671613",False,"조례 개정 절차는 어떻게 되나요?",NULL,NULL,NULL,"2025-10-31 01:16:57.671613"
349,1,"2025-10-31 01:43:14.901617",False,"불용물품 처리는 어떤 프로세스를 거쳐서 해야하나요?",NULL,NULL,NULL,"2025-10-31 01:43:14.901617"
350,1,"2025-10-31 01:44:21.376181",False,"위원회를 만들때 어떤 프로세스를 거쳐서 해야하나요?",NULL,NULL,NULL,"2025-10-31 01:44:21.376181"
391,1,"2025-10-31 01:56:48.542084",False,"부산광역시 해운대구 부동산중개 수수료를 알고 싶습니다.",NULL,NULL,NULL,"2025-10-31 01:56:48.542084"
392,1,"2025-10-31 01:57:47.353574",False,"사전정보공표 정비 방법 알려주세요",NULL,NULL,NULL,"2025-10-31 01:57:47.353574"
